TAX,,,,,,,,
,DC,Montgomery,PG,Alexandria,Arlington,Fairfax County,Fairfax City,Falls Church
"$25,000 INCOME LEVEL",,,,,,,,
Income 1/,-911,-384,-384,0,0,0,0,0
Real Estate,"3,024","3,024","3,024",3024,"3,024","3,024","3,024","3,024"
Sales and Use,827,557,565,742,713,620,713,713
Automobile,203,246,246,381,524,357,577,440
TOTAL,"3,143","3,443","3,451",4147,"4,261","4,001","4,314","4,177"
RANK,8,7,6,4,2,5,1,3
"$50,000 INCOME LEVEL",,,,,,,,
Income,"1,784","2,219","2,195","1,723","1,733","1,721","1,713","1,697"
Real Estate,751,974,"1,776","1,714","1,591","1,782","1,696","2,100"
Sales and Use,978,601,613,783,742,643,742,742
Automobile,219,268,268,403,551,378,606,464
TOTAL,"3,732","4,062","4,852","4,623","4,617","4,524","4,757","5,003"
RANK,8,7,2,4,5,6,3,1
"$75,000 INCOME LEVEL",,,,,,,,
Income,"2,685","3,496","3,504","2,493","2,512","2,491","2,463","2,450"
Real Estate,"1,429","2,755","2,664","2,571","2,386","2,674","2,544","3,150"
Sales and Use,"1,380",867,889,"1,132","1,056",895,"1,056","1,056"
Automobile,432,495,495,894,"1,289",827,"1,411","1,058"
TOTAL,"5,926","7,613","7,552","7,090","7,243","6,887","7,474","7,714"
RANK,8,2,3,6,5,7,4,1
,,,"$100,000 INCOME LEVEL",,,,,
Income,"4,640","5,229","5,240","3,938","3,961","3,934","3,906","3,883"
Real Estate,"2,108","3,674","3,552","3,427","3,181","3,565","3,392","4,200"
Sales and Use,"1,710","1,058","1,092","1,376","1,264","1,071","1,264","1,264"
Automobile,561,640,640,"1,030","1,467",956,"1,596","1,211"
TOTAL,"9,019","10,601","10,524","9,771","9,873","9,526","10,158","10,558"
RANK,8,1,3,6,5,7,4,2
"$150,000 INCOME LEVEL",,,,,,,,
Income,"8,058","8,338","8,352","6,147","6,179","6,147","6,121","6,070"
Real Estate,"3,466","5,511","5,328","5,141","4,772","5,347","5,088","6,301"
Sales and Use,"2,134","1,451","1,502","1,859","1,691","1,437","1,691","1,691"
Automobile,548,622,622,"2,129","2,986","2,252","2,931","2,633"
TOTAL,"14,206","15,922","15,804","15,276","15,628","15,183","15,831","16,695"
RANK,8,2,4,6,5,7,3,1
